"State or 
district","Electoral 
method","Hillary Clinton 
Democratic #","Hillary Clinton 
Democratic %","Hillary Clinton 
Democratic Electoral 
votes","Donald Trump 
Republican #","Donald Trump 
Republican %","Donald Trump 
Republican Electoral 
votes","Gary Johnson 
Libertarian #","Gary Johnson 
Libertarian %","Gary Johnson 
Libertarian Electoral 
votes","Jill Stein 
Green #","Jill Stein 
Green %","Jill Stein 
Green Electoral 
votes","Evan McMullin 
Independent #","Evan McMullin 
Independent %","Evan McMullin 
Independent Electoral 
votes",Others #,Others %,"Others Electoral 
votes",Margin #,Margin %,Total #,Total State,Total Source(s)
Alabama,WTA,729547,0.3436,,1318255,0.6208,9,44467,0.0209,,"9,391",0.44%,,,,,"21,712",1.02%,,"588,708",27.73%,2123372,AL,[372]
Alaska,WTA,116454,0.3655,,163387,0.5128,3,18725,0.0588,,"5,735",1.80%,,,,,"14,307",4.49%,,"46,933",14.73%,318608,AK,[373]
Arizona,WTA,1161167,0.4513,,1252401,0.4867,11,106327,0.0413,,"34,345",1.33%,,"17,449",0.68%,,"1,476",0.06%,,"91,234",3.55%,2573165,AZ,[374]
Arkansas,WTA,380494,0.3365,,684872,0.6057,6,29829,0.0264,,"9,473",0.84%,,"13,255",1.17%,,"12,712",1.12%,,"304,378",26.92%,1130635,AR,[375]
California,WTA,8753788,0.6173,55,4483810,0.3162,,478500,0.0337,,"278,657",1.96%,,"39,596",0.28%,,"147,244",1.04%,,"−4,269,978",−30.11%,14181595,CA,[376]
Colorado,WTA,1338870,0.4816,9,1202484,0.4325,,144121,0.0518,,"38,437",1.38%,,"28,917",1.04%,,"27,418",0.99%,,"−136,386",−4.91%,2780247,CO,[377]
Connecticut,WTA,897572,0.5457,7,673215,0.4093,,48676,0.0296,,"22,841",1.39%,,"2,108",0.13%,,508,0.03%,,"−224,357",−13.64%,1644920,CT,[378]
Delaware,WTA,235603,0.5309,3,185127,0.4172,,14757,0.0332,,"6,103",1.37%,,706,0.16%,,"1,518",0.34%,,"−50,476",−11.37%,443814,DE,[379][380]
District of Columbia,WTA,282830,0.9048,3,12723,0.0407,,4906,0.0157,,"4,258",1.36%,,,,,"6,551",2.52%,,"−270,107",−86.78%,311268,DC,[381]
Florida,WTA,4504975,0.4782,,4617886,0.4902,29,207043,0.022,,"64,399",0.68%,,,,,"25,736",0.28%,,"112,911",1.20%,9420039,FL,[382]
Georgia,WTA,1877963,0.4564,,2089104,0.5077,16,125306,0.0305,,"7,674",0.19%,,"13,017",0.32%,,"1,668",0.04%,,"211,141",5.13%,4114732,GA,[383][384]
Hawaii,WTA,266891,0.6222,3,128847,0.3003,,15954,0.0372,,"12,737",2.97%,,,,,"4,508",1.05%,1,"−138,044",−32.18%,428937,HI,[385]
Idaho,WTA,189765,0.2749,,409055,0.5926,4,28331,0.041,,"8,496",1.23%,,"46,476",6.73%,,"8,132",1.18%,,"219,290",31.77%,690255,ID,[386]
Illinois,WTA,3090729,0.5583,20,2146015,0.3876,,209596,0.0379,,"76,802",1.39%,,"11,655",0.21%,,"1,627",0.03%,,"−944,714",−17.06%,5536424,IL,[387]
Indiana,WTA,1033126,0.3791,,1557286,0.5682,11,133993,0.0489,,"7,841",0.27%,,,,,"2,712",0.10%,,"524,160",19.17%,2734958,IN,[388]
Iowa,WTA,653669,0.4174,,800983,0.5115,6,59186,0.0378,,"11,479",0.73%,,"12,366",0.79%,,"28,348",1.81%,,"147,314",9.41%,1566031,IA,[389]
Kansas,WTA,427005,0.3605,,671018,0.5665,6,55406,0.0468,,"23,506",1.98%,,"6,520",0.55%,,947,0.08%,,"244,013",20.60%,1184402,KS,[390]
Kentucky,WTA,628854,0.3268,,1202971,0.6252,8,53752,0.0279,,"13,913",0.72%,,"22,780",1.18%,,"1,879",0.10%,,"574,177",29.84%,1924149,KY,[391]
Louisiana,WTA,780154,0.3845,,1178638,0.5809,8,37978,0.0187,,"14,031",0.69%,,"8,547",0.42%,,"9,684",0.48%,,"398,484",19.64%,2029032,LA,[392]
Maine (atlg),WTA,357735,0.4783,2,335593,0.4487,,38105,0.0509,,"14,251",1.91%,,"1,887",0.25%,,356,0.05%,,"−22,142",−2.96%,747927,MEa/l,[393][394]
"Maine, 1st",CD,212774,0.5396,1,154384,0.3915,,18592,0.0471,,"7,563",1.92%,,807,0.20%,,209,0.05%,,"−58,390",−14.81%,394329,ME1,[393][394]
"Maine, 2nd",CD,144817,0.4098,,181177,0.5126,1,19510,0.0552,,"6,685",1.89%,,"1,080",0.31%,,147,0.04%,,"36,360",10.29%,353416,ME2,[393][394]
Maryland,WTA,1677928,0.6033,10,943169,0.3391,,79605,0.0286,,"35,945",1.29%,,"9,630",0.35%,,"35,169",1.26%,,"−734,759",−26.42%,2781446,MD,[395]
Massachusetts,WTA,1995196,0.6001,11,1090893,0.3281,,138018,0.0415,,"47,661",1.43%,,"2,719",0.08%,,"50,559",1.52%,,"−904,303",−27.20%,3325046,MA,[396]
Michigan,WTA,2268839,0.4727,,2279543,0.475,16,172136,0.0359,,"51,463",1.07%,,"8,177",0.17%,,"19,126",0.40%,,"10,704",0.22%,4799284,MI,[397]
Minnesota,WTA,1367716,0.4644,10,1322951,0.4492,,112972,0.0384,,"36,985",1.26%,,"53,076",1.80%,,"51,113",1.74%,,"−44,765",−1.52%,2944813,MN,[398]
Mississippi,WTA,485131,0.4011,,700714,0.5794,6,14435,0.0119,,"3,731",0.31%,,,,,"5,346",0.44%,,"215,583",17.83%,1209357,MS,[399]
Missouri,WTA,1071068,0.3814,,1594511,0.5677,10,97359,0.0347,,"25,419",0.91%,,"7,071",0.25%,,"13,177",0.47%,,"523,443",18.64%,2808605,MO,[400]
Montana,WTA,177709,0.3575,,279240,0.5617,3,28037,0.0564,,"7,970",1.60%,,"2,297",0.46%,,"1,894",0.38%,,"101,531",20.42%,497147,MT,[401][402]
Nebraska (atlg),WTA,284494,0.337,,495961,0.5875,2,38946,0.0461,,"8,775",1.04%,,,,,"16,051",1.90%,,"211,467",25.05%,844227,NEa/l,[403]
"Nebraska, 1st",CD,100126,0.3546,,158626,0.5618,1,14031,0.0497,,"3,374",1.19%,,,,,"6,181",2.19%,,"58,500",20.72%,282338,NE1,[403]
"Nebraska, 2nd",CD,131030,0.4492,,137564,0.4716,1,13245,0.0454,,"3,347",1.15%,,,,,"6,494",2.23%,,"6,534",2.24%,291680,NE2,[403]
"Nebraska, 3rd",CD,53290,0.1973,,199657,0.7392,1,11657,0.0432,,"2,054",0.76%,,,,,"3,451",1.28%,,"146,367",54.19%,270109,NE3,[403]
Nevada,WTA,539260,0.4792,6,512058,0.455,,37384,0.0332,,,,,,,,"36,683",3.26%,,"−27,202",−2.42%,1125385,NV,[404]
New Hampshire,WTA,348526,0.4698,4,345790,0.4661,,30777,0.0415,,"6,496",0.88%,,"1,064",0.14%,,"11,643",1.24%,,"−2,736",−0.37%,744296,NH,[405]
New Jersey,WTA,2148278,0.5499,14,1601933,0.41,,72477,0.0186,,"37,772",0.97%,,,,,"13,586",1.18%,,"−546,345",−14.10%,3874046,NJ,[406]
New Mexico,WTA,385234,0.4826,5,319667,0.4004,,74541,0.0934,,"9,879",1.24%,,"5,825",0.73%,,"3,173",0.40%,,"−65,567",−8.21%,798319,NM,[407]
New York,WTA,4556124,0.5901,29,2819534,0.3652,,176598,0.0229,,"107,934",1.40%,,"10,373",0.13%,,"50,890",0.66%,,"−1,736,590",−22.49%,7721453,NY,[408]
North Carolina,WTA,2189316,0.4617,,2362631,0.4983,15,130126,0.0274,,"12,105",0.26%,,,,,"47,386",1.00%,,"173,315",3.66%,4741564,NC,[409]
North Dakota,WTA,93758,0.2723,,216794,0.6296,3,21434,0.0622,,"3,780",1.10%,,,,,"8,594",2.49%,,"123,036",35.73%,344360,ND,[410]
Ohio,WTA,2394164,0.4356,,2841005,0.5169,18,174498,0.0317,,"46,271",0.84%,,"12,574",0.23%,,"27,975",0.51%,,"446,841",8.13%,5496487,OH,[411]
Oklahoma,WTA,420375,0.2893,,949136,0.6532,7,83481,0.0575,,,,,,,,N/A,N/A,,"528,761",37.08%,1452992,OK,[412]
Oregon,WTA,1002106,0.5007,7,782403,0.3909,,94231,0.0471,,"50,002",2.50%,,,,,"72,594",3.63%,,"−219,703",−10.98%,2001336,OR,[413]
Pennsylvania,WTA,2926441,0.4746,,2970733,0.4818,20,146715,0.0238,,"49,941",0.81%,,"6,472",0.11%,,"65,176",1.06%,,"44,292",0.72%,6165478,PA,[414]
Rhode Island,WTA,252525,0.5441,4,180543,0.389,,14746,0.0318,,"6,220",1.34%,,516,0.11%,,"9,594",2.07%,,"−71,982",−15.51%,464144,RI,[415]
South Carolina,WTA,855373,0.4067,,1155389,0.5494,9,49204,0.0234,,"13,034",0.62%,,"21,016",1.00%,,"9,011",0.43%,,"300,016",14.27%,2103027,SC,[416]
South Dakota,WTA,117458,0.3174,,227721,0.6153,3,20850,0.0563,,,,,,,,"4,064",1.10%,,"110,263",29.79%,370093,SD,[417]
Tennessee,WTA,870695,0.3472,,1522925,0.6072,11,70397,0.0281,,"15,993",0.64%,,"11,991",0.48%,,"16,026",0.64%,,"652,230",26.01%,2508027,TN,[418]
Texas,WTA,3877868,0.4324,,4685047,0.5223,36,283492,0.0316,,"71,558",0.80%,,"42,366",0.47%,,"8,895",0.10%,2,"807,179",9.00%,8969226,TX,[419]
Utah,WTA,310676,0.2746,,515231,0.4554,6,39608,0.035,,"9,438",0.83%,,"243,690",21.54%,,"12,787",1.13%,,"204,555",18.08%,1131430,UT,[420]
Vermont,WTA,178573,0.5668,3,95369,0.3027,,10078,0.032,,"6,758",2.14%,,639,0.20%,,"23,650",7.51%,,"−83,204",−26.41%,315067,VT,[421]
Virginia,WTA,1981473,0.4973,13,1769443,0.4441,,118274,0.0297,,"27,638",0.69%,,"54,054",1.36%,,"33,749",0.85%,,"−212,030",−5.32%,3984631,VA,[422]
Washington,WTA,1742718,0.5254,8,1221747,0.3683,,160879,0.0485,,"58,417",1.76%,,,,,"133,258",4.02%,4,"−520,971",−15.71%,3317019,WA,[423]
West Virginia,WTA,188794,0.2643,,489371,0.685,5,23004,0.0322,,"8,075",1.13%,,"1,104",0.15%,,"4,075",0.57%,,"300,577",42.07%,714423,WV,[424]
Wisconsin,WTA,1382536,0.4645,,1405284,0.4722,10,106674,0.0358,,"31,072",1.04%,,"11,855",0.40%,,"38,729",1.30%,,"22,748",0.76%,2976150,WI,[425]
Wyoming,WTA,55973,0.2163,,174419,0.674,3,13287,0.0513,,"2,515",0.97%,,,,,"9,655",3.73%,,"118,446",46.30%,255849,WY,[426]
