Race,Gender,Age,Total Population ,Total Citizen Population,Reported registered Number,Reported registered Percent,Reported not registered Number,Reported not registered Percent,No Response to registration Number,No Response to registration Percent,Reported voted Number,Reported voted Percent,Reported did not voted Number,Reported did not voted Percent,No response to voting Number,No response to voting Percent,Reported registered Percent,Reported voted Percent
All races,BOTH SEXES,Total 18 years and over,"245,502","224,059","157,596",70.3,"32,622",14.6,"33,841",15.1,"137,537",61.4,"53,860",24,"32,662",14.6,64.2,56
All races,BOTH SEXES,18 to 24 years,"29,320","26,913","14,905",55.4,"6,650",24.7,"5,358",19.9,"11,560",43,"10,171",37.8,"5,182",19.3,50.8,39.4
All races,BOTH SEXES,25 to 44 years,"83,698","72,610","48,629",67,"12,467",17.2,"11,514",15.9,"40,994",56.5,"20,682",28.5,"10,933",15.1,58.1,49
All races,BOTH SEXES,45 to 64 years,"83,799","77,544","57,394",74,"9,063",11.7,"11,087",14.3,"51,668",66.6,"15,065",19.4,"10,810",13.9,68.5,61.7
All races,BOTH SEXES,65 to 74 years,"28,832","27,839","21,908",78.7,"2,502",9,"3,429",12.3,"20,219",72.6,"4,239",15.2,"3,381",12.1,76,70.1
All races,BOTH SEXES,75 years and over,"19,852","19,154","14,759",77.1,"1,941",10.1,"2,454",12.8,"13,095",68.4,"3,703",19.3,"2,356",12.3,74.3,66
All races,MALE,Total 18 years and over,"118,488","107,554","73,761",68.6,"17,068",15.9,"16,724",15.5,"63,801",59.3,"27,681",25.7,"16,071",14.9,62.3,53.8
All races,MALE,18 to 24 years,"14,822","13,530","7,200",53.2,"3,579",26.5,"2,752",20.3,"5,409",40,"5,448",40.3,"2,673",19.8,48.6,36.5
All races,MALE,25 to 44 years,"41,264","35,431","22,718",64.1,"6,733",19,"5,980",16.9,"18,783",53,"11,021",31.1,"5,628",15.9,55.1,45.5
All races,MALE,45 to 64 years,"40,642","37,516","27,229",72.6,"4,853",12.9,"5,434",14.5,"24,364",64.9,"7,899",21.1,"5,253",14,67,59.9
All races,MALE,65 to 74 years,"13,428","13,018","10,245",78.7,"1,211",9.3,"1,561",12,"9,473",72.8,"2,003",15.4,"1,541",11.8,76.3,70.5
All races,MALE,75 years and over,"8,333","8,059","6,369",79,692,8.6,997,12.4,"5,772",71.6,"1,310",16.3,976,12.1,76.4,69.3
All races,FEMALE,Total 18 years and over,"127,013","116,505","83,835",72,"15,553",13.3,"17,117",14.7,"73,735",63.3,"26,179",22.5,"16,591",14.2,66,58.1
All races,FEMALE,18 to 24 years,"14,498","13,382","7,706",57.6,"3,070",22.9,"2,606",19.5,"6,150",46,"4,723",35.3,"2,509",18.7,53.2,42.4
All races,FEMALE,25 to 44 years,"42,435","37,178","25,911",69.7,"5,734",15.4,"5,533",14.9,"22,212",59.7,"9,662",26,"5,305",14.3,61.1,52.3
All races,FEMALE,45 to 64 years,"43,157","40,028","30,165",75.4,"4,210",10.5,"5,653",14.1,"27,304",68.2,"7,167",17.9,"5,557",13.9,69.9,63.3
All races,FEMALE,65 to 74 years,"15,404","14,821","11,663",78.7,"1,291",8.7,"1,868",12.6,"10,746",72.5,"2,236",15.1,"1,840",12.4,75.7,69.8
All races,FEMALE,75 years and over,"11,519","11,095","8,390",75.6,"1,249",11.3,"1,456",13.1,"7,324",66,"2,392",21.6,"1,379",12.4,72.8,63.6
Asian,BOTH SEXES,Total 18 years and over,"14,881","10,283","5,785",56.3,"2,467",24,"2,032",19.8,"5,043",49,"3,315",32.2,"1,926",18.7,38.9,33.9
Asian,BOTH SEXES,18 to 24 years,"1,791","1,188",555,46.7,330,27.8,303,25.5,451,38,466,39.3,270,22.7,31,25.2
Asian,BOTH SEXES,25 to 44 years,"6,270","3,752","2,066",55.1,933,24.9,754,20.1,"1,784",47.5,"1,250",33.3,719,19.2,32.9,28.4
Asian,BOTH SEXES,45 to 64 years,"4,635","3,519","2,089",59.4,797,22.7,633,18,"1,849",52.5,"1,050",29.8,620,17.6,45.1,39.9
Asian,BOTH SEXES,65 to 74 years,"1,344","1,121",672,59.9,236,21,214,19.1,599,53.4,326,29.1,196,17.5,50,44.6
Asian,BOTH SEXES,75 years and over,842,703,402,57.2,171,24.3,130,18.5,360,51.2,222,31.6,121,17.2,47.8,42.8
Asian,MALE,Total 18 years and over,"6,992","4,812","2,734",56.8,"1,149",23.9,929,19.3,"2,392",49.7,"1,529",31.8,891,18.5,39.1,34.2
Asian,MALE,18 to 24 years,920,587,249,42.3,183,31.1,156,26.6,195,33.2,246,41.9,146,24.9,27,21.2
Asian,MALE,25 to 44 years,"2,953","1,776",985,55.5,415,23.4,376,21.2,847,47.7,573,32.3,356,20,33.4,28.7
Asian,MALE,45 to 64 years,"2,160","1,633",993,60.8,375,23,265,16.2,878,53.8,487,29.8,268,16.4,46,40.6
Asian,MALE,65 to 74 years,603,516,322,62.4,113,21.9,81,15.6,296,57.4,140,27.2,79,15.4,53.4,49.1
Asian,MALE,75 years and over,356,300,185,61.6,64,21.2,51,17.1,176,58.5,84,27.8,41,13.7,52.1,49.5
Asian,FEMALE,Total 18 years and over,"7,889","5,471","3,051",55.8,"1,317",24.1,"1,103",20.2,"2,651",48.4,"1,786",32.6,"1,035",18.9,38.7,33.6
Asian,FEMALE,18 to 24 years,870,600,307,51.1,147,24.5,146,24.4,256,42.7,220,36.7,124,20.6,35.2,29.5
Asian,FEMALE,25 to 44 years,"3,317","1,976","1,080",54.7,518,26.2,378,19.1,936,47.4,677,34.3,363,18.4,32.6,28.2
Asian,FEMALE,45 to 64 years,"2,474","1,886","1,096",58.1,422,22.4,368,19.5,971,51.5,563,29.9,352,18.7,44.3,39.2
Asian,FEMALE,65 to 74 years,741,606,350,57.8,122,20.2,133,22,303,50.1,186,30.7,116,19.2,47.3,40.9
Asian,FEMALE,75 years and over,487,403,217,53.9,107,26.7,78,19.4,184,45.7,138,34.4,80,19.9,44.6,37.8
Black,BOTH SEXES,Total 18 years and over,"30,608","28,808","19,984",69.4,"3,732",13,"5,092",17.7,"17,119",59.4,"6,674",23.2,"5,015",17.4,65.3,55.9
Black,BOTH SEXES,18 to 24 years,"4,357","4,138","2,367",57.2,971,23.5,800,19.3,"1,751",42.3,"1,586",38.3,800,19.3,54.3,40.2
