county,fips,st,total_votes,lead,state.name,Donald.Trump,Hillary.Clinton,Candidates,Votes
Kent County,10001,DE,74253,Donald Trump,Delaware,36989,33347,other,0
New Castle County,10003,DE,261468,Hillary Clinton,Delaware,85507,162905,other,0
Sussex County,10005,DE,105814,Donald Trump,Delaware,62607,39329,other,0
Autauga County,1001,AL,24661,Donald Trump,Alabama,18110,5908,other,0
Baldwin County,1003,AL,94090,Donald Trump,Alabama,72780,18409,other,0
Barbour County,1005,AL,10390,Donald Trump,Alabama,5431,4848,other,0
Bibb County,1007,AL,8748,Donald Trump,Alabama,6733,1874,other,0
Blount County,1009,AL,25384,Donald Trump,Alabama,22808,2150,other,0
Bullock County,1011,AL,4701,Hillary Clinton,Alabama,1139,3530,other,0
Butler County,1013,AL,8685,Donald Trump,Alabama,4891,3716,other,0
Calhoun County,1015,AL,47376,Donald Trump,Alabama,32803,13197,other,0
Chambers County,1017,AL,13778,Donald Trump,Alabama,7803,5763,other,0
Cherokee County,1019,AL,10503,Donald Trump,Alabama,8809,1524,other,0
Chilton County,1021,AL,18255,Donald Trump,Alabama,15068,2909,other,0
Choctaw County,1023,AL,7268,Donald Trump,Alabama,4102,3109,other,0
Clarke County,1025,AL,12936,Donald Trump,Alabama,7109,5712,other,0
Clay County,1027,AL,6572,Donald Trump,Alabama,5230,1234,other,0
Cleburne County,1029,AL,6532,Donald Trump,Alabama,5738,684,other,0
Coffee County,1031,AL,20513,Donald Trump,Alabama,15825,4194,other,0
Colbert County,1033,AL,24626,Donald Trump,Alabama,16718,7296,other,0
Conecuh County,1035,AL,6543,Donald Trump,Alabama,3413,3069,other,0
Coosa County,1037,AL,5223,Donald Trump,Alabama,3376,1780,other,0
Covington County,1039,AL,15818,Donald Trump,Alabama,13222,2379,other,0
Crenshaw County,1041,AL,6252,Donald Trump,Alabama,4511,1663,other,0
Cullman County,1043,AL,37278,Donald Trump,Alabama,32734,3730,other,0
Dale County,1045,AL,18617,Donald Trump,Alabama,13798,4408,other,0
Dallas County,1047,AL,18730,Hillary Clinton,Alabama,5784,12826,other,0
DeKalb County,1049,AL,26086,Donald Trump,Alabama,21779,3682,other,0
Elmore County,1051,AL,36905,Donald Trump,Alabama,27619,8436,other,0
Escambia County,1053,AL,15213,Donald Trump,Alabama,10282,4698,other,0
Etowah County,1055,AL,43474,Donald Trump,Alabama,32132,10350,other,0
Fayette County,1057,AL,8196,Donald Trump,Alabama,6705,1358,other,0
Franklin County,1059,AL,11955,Donald Trump,Alabama,9466,2197,other,0
Geneva County,1061,AL,11659,Donald Trump,Alabama,9967,1522,other,0
Greene County,1063,AL,4862,Hillary Clinton,Alabama,838,4006,other,0
Hale County,1065,AL,8010,Hillary Clinton,Alabama,3172,4772,other,0
Henry County,1067,AL,8017,Donald Trump,Alabama,5623,2286,other,0
Houston County,1069,AL,42030,Donald Trump,Alabama,30567,10547,other,0
Jackson County,1071,AL,20785,Donald Trump,Alabama,16643,3663,other,0
Jefferson County,1073,AL,290111,Hillary Clinton,Alabama,130614,151581,other,0
Lamar County,1075,AL,6931,Donald Trump,Alabama,5819,1035,other,0
Lauderdale County,1077,AL,38813,Donald Trump,Alabama,27735,9877,other,0
Lawrence County,1079,AL,14623,Donald Trump,Alabama,10732,3611,other,0
Lee County,1081,AL,57668,Donald Trump,Alabama,34321,20987,other,0
Limestone County,1083,AL,39400,Donald Trump,Alabama,28824,9340,other,0
Lowndes County,1085,AL,6676,Hillary Clinton,Alabama,1751,4882,other,0
Macon County,1087,AL,8748,Hillary Clinton,Alabama,1394,7237,other,0
Madison County,1089,AL,159473,Donald Trump,Alabama,89199,62435,other,0
Marengo County,1091,AL,10948,Hillary Clinton,Alabama,5224,5607,other,0
Marion County,1093,AL,12912,Donald Trump,Alabama,11273,1432,other,0
Marshall County,1095,AL,34965,Donald Trump,Alabama,29217,4913,other,0
Mobile County,1097,AL,163387,Donald Trump,Alabama,91087,68429,other,0
